nsYMD,KOSPI,KOSDAQ,PORT_ASSET,P_return,Q_return,PORT_return,P_DD,Q_DD,PORT_DD,P-PORT_DD,Q-PORT_DD
20070102,1434.46,606.15,49724576,,,,,,,,
20070103,1435.26,608.72,49271512,,,,,,,,
20070104,1409.35,602.69,49174465,,,,,,,,
20070105,1397.29,603.94,49028667,,,,,,,,
20070108,1385.76,602.35,48914313,,,,,,,,
20070109,1370.81,597.83,49198692,,,,,,,,
20070110,1374.34,601.95,48668947,,,,,,,,
20070111,1355.79,596.78,49227903,,,,,,,,
20070112,1365.31,600.94,49742150,,,,,,,,
20070115,1388.37,608.01,49756023,,,,,,,,
20070116,1390.96,608.47,49422122,,,,,,,,
20070117,1389.71,605.5,49028230,,,,,,,,
20070118,1379.48,598.17,48533606,,,,,,,,
20070119,1383.21,597.05,47191456,,,,,,,,
20070122,1360.56,583.62,46813372,,,,,,,,
20070123,1363.41,577.12,46515486,,,,,,,,
20070124,1363.09,571.04,47545386,,,,,,,,
20070125,1383.06,580.27,47429822,,,,,,,,
20070126,1382.36,583.58,47589391,,,,,,,,
20070129,1371.33,583.15,47852102,,,,,,,,
20070130,1363.1,582.48,48032326,,,,,,,,
20070131,1370.72,581.04,48516598,,,,,,,,
20070201,1360.23,576.37,48477971,,,,,,,,
20070202,1382.9,582.46,48997103,,,,,,,,
20070205,1413.14,591.72,48959093,,,,,,,,
20070206,1417.95,594.61,49321898,,,,,,,,
20070207,1428.58,596.22,49410699,,,,,,,,
20070208,1426.29,600.56,49274145,,,,,,,,
20070209,1423.58,601.82,49354310,,,,,,,,
20070212,1427.68,601.89,48788884,,,,,,,,
20070213,1414.29,599.19,49162769,,,,,,,,
20070214,1418.44,596.71,50096859,,,,,,,,
20070215,1436.1,602.78,50279643,,,,,,,,
20070216,1443.63,604.17,50593138,,,,,,,,
20070220,1448.81,605.07,50695813,,,,,,,,
20070221,1452.96,607.48,50900738,,,,,,,,
20070222,1451.38,608.16,51199088,,,,,,,,
20070223,1465.41,610.41,51180651,,,,,,,,
20070226,1469.88,610.83,52274736,,,,,,,,
20070227,1470.03,613.01,52216505,,,,,,,,
20070228,1454.6,611.52,51992082,,,,,,,,
20070302,1417.34,600.93,52999624,,,,,,,,
20070305,1414.47,606.99,52802448,,,,,,,,
20070306,1376.15,594.03,54162842,,,,,,,,
20070307,1402.93,601.96,54611404,,,,,,,,
20070308,1410.95,606.19,55147981,,,,,,,,
20070309,1423.89,611.69,55554330,,,,,,,,
20070312,1423.58,613.41,56157775,,,,,,,,
20070313,1441.33,619.62,56229383,,,,,,,,
20070314,1436.05,620.41,55752586,,,,,,,,
20070315,1407.37,613.31,57219617,,,,,,,,
20070316,1426.93,624.7,58224531,,,,,,,,
20070319,1427.88,631.39,59332134,,,,,,,,
